i,j,AR,area
2,61,7.38526,0.000470385
2,62,7.49393,0.000477191
2,63,7.60265,0.000483996
2,64,7.7114,0.000490801
2,65,7.82018,0.000497607
2,66,7.92899,0.000504412
2,67,8.03784,0.000511217
2,68,8.14672,0.000518023
2,69,8.25562,0.000524828
2,70,8.36455,0.000531633
2,71,8.47351,0.000538439
2,72,8.58249,0.000545244
2,73,8.6915,0.000552049
2,74,8.80053,0.000558855
2,75,8.90958,0.00056566
2,76,9.01866,0.000572465
2,77,9.12775,0.000579271
2,78,9.23687,0.000586076
2,79,9.346,0.000592881
2,80,9.45516,0.000599687
2,81,9.56433,0.000606492
2,82,9.67352,0.000613297
2,83,9.78273,0.000620102
2,84,9.89195,0.000626908
2,85,10.0012,0.000633713
2,86,10.1104,0.000640518
2,87,10.2197,0.000647324
2,88,10.329,0.000654129
2,89,10.4383,0.000660934
2,90,10.5476,0.00066774
2,91,10.6569,0.000674545
2,92,10.7663,0.00068135
2,93,10.8756,0.000688156
2,94,10.985,0.000694961
2,95,11.0944,0.000701766
2,96,11.2037,0.000708572
2,97,11.3131,0.000715377
2,98,11.4225,0.000722182
2,99,11.532,0.000728988
3,0,1.24416,6.15552e-05
3,1,1.2936,6.73434e-05
3,2,1.34722,7.31316e-05
3,3,1.40454,7.89198e-05
3,4,1.46513,8.4708e-05
3,5,1.5286,9.04962e-05
3,6,1.5946,9.62844e-05
3,7,1.66284,0.000102073
3,8,1.73305,0.000107861
3,9,1.805,0.000113649
3,10,1.87848,0.000119437
3,11,1.95334,0.000125225
3,12,2.02941,0.000131014
3,13,2.10656,0.000136802
3,14,2.18468,0.00014259
3,15,2.26367,0.000148378
3,16,2.34344,0.000154166
3,17,2.42391,0.000159955
3,18,2.50502,0.000165743
3,19,2.5867,0.000171531
3,20,2.66891,0.000177319
3,21,2.75159,0.000183107
3,22,2.83471,0.000188895
3,23,2.91823,0.000194684
3,24,3.0021,0.000200472
3,25,3.08632,0.00020626
3,26,3.17084,0.000212048
3,27,3.25565,0.000217836
3,28,3.34071,0.000223625
3,29,3.42602,0.000229413
3,30,3.51156,0.000235201
3,31,3.5973,0.000240989
3,32,3.68324,0.000246777
3,33,3.76936,0.000252566
3,34,3.85565,0.000258354
3,35,3.9421,0.000264142
3,36,4.02869,0.00026993
3,37,4.11542,0.000275718
3,38,4.20229,0.000281507
3,39,4.28927,0.000287295
3,40,4.37637,0.000293083
3,41,4.46358,0.000298871
3,42,4.55089,0.000304659
3,43,4.63829,0.000310448
3,44,4.72579,0.000316236
3,45,4.81337,0.000322024
3,46,4.90103,0.000327812
3,47,4.98877,0.0003336
3,48,5.07658,0.000339389
3,49,5.16446,0.000345177
3,50,5.25241,0.000350965
3,51,5.34042,0.000356753
3,52,5.42848,0.000362541
3,53,5.51661,0.000368329
3,54,5.60479,0.000374118
3,55,5.69302,0.000379906
3,56,5.7813,0.000385694
3,57,5.86962,0.000391482
3,58,5.95799,0.00039727
3,59,6.04641,0.000403059
3,60,6.13486,0.000408847
3,61,6.22336,0.000414635
3,62,6.31189,0.000420423
3,63,6.40045,0.000426211
3,64,6.48906,0.000432
3,65,6.57769,0.000437788
3,66,6.66636,0.000443576
3,67,6.75505,0.000449364
3,68,6.84378,0.000455152
3,69,6.93253,0.000460941
